publisher_id,publisher_name
1,Nhà Xuất Bản Hội Nhà Văn
2,Nhà Xuất Bản Thế Giới
3,Nhà Xuất Bản Hà Nội
4,
5,Nhà Xuất Bản Dân Trí
6,Nhà Xuất Bản Phụ Nữ
7,Nhà Xuất Bản Tổng hợp TP.HCM
8,Nhà Xuất Bản Văn Học
9,NXB Trẻ
10,Nhà Xuất Bản Thanh Niên
11,Nhà Xuất Bản Đà Nẵng
12,Nhà Xuất Bản Phụ Nữ Việt Nam
13,Nhà Xuất Bản Lao Động
14,Nhà Xuất Bản Hồng Đức
15,Nhà Xuất Bản Kim Đồng
16,Nhà Xuất Bản Tri Thức
17,Nhà Xuất Bản Công Thương
18,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM
19,Nhà Xuất Bản Lao Động Xã Hội
20,Nhiều Nhà Xuất Bản
21,NXB Đại học Kinh Tế Quốc Dân
22,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội
23,ĐHQG Hà Nội
24,Nhà Xuất Bản Đồng Nai
25,Nhà Xuất Bản Thông Tấn
26,Nhà Xuất Bản Mỹ Thuật
27,Nhà Xuất Bản Văn Hoá Dân Tộc
28,Nhà Xuất Bản Kinh Tế TPHCM
29,NXB Dân Trí
30,Nhà Xuất Bản Khoa Học Xã Hội
31,hong duc
32,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân
33,Nhà Xuất Bản Tài Chính
34,Nhà Xuất Bản Thông Tin Và Truyền Thông
35,Forbes Việt Nam
36,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật
37,Nhà Xuất Bản Khoa học & kỹ thuật
38,Nhà Xuất Bản Hồng Đức - Hội Luật Gia Việt Nam
39,Nhà Xuất Bản Tôn Giáo
40,Nhà Xuất Bản Compass Publishing
41,Nhà Xuất Bản Thời Đại
42,Nhà Xuất Bản Giáo Dục Việt Nam
